Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Filip Jørgensen,Chelsea,DEN,Goalkeeper,25.9,25.9
Gonçalo Guedes,Wolves,POR,Midfielder,16.2,25.83
Jacob Greaves,Ipswich Town,ENG,Defender,25.1,25.76
Kenny Tete,Fulham,NED,Defender,14.0,25.45
Morato,Nott'ham Forest,BRA,Defender,20.0,25.41
Jean-Clair Todibo,West Ham,FRA,Defender,36.0,25.3
Mateo Kovačić,Manchester City,CRO,Midfielder,25.3,25.3
Joe Gomez,Liverpool,ENG,Defender,25.3,25.25
Rayan Aït-Nouri,Wolves,ALG,Defender,45.0,25.2
Axel Disasi,Aston Villa,FRA,Defender,27.5,25.0
Fabio Carvalho,Brentford,POR,Forward,20.6,24.96
Cameron Archer,Southampton,ENG,Forward,18.6,24.89
Danilo,Nott'ham Forest,BRA,Midfielder,36.9,24.84
Jarell Quansah,Liverpool,ENG,Defender,26.2,24.83
Callum Hudson-Odoi,Nott'ham Forest,ENG,Forward,30.2,24.42
Tyler Adams,Bournemouth,USA,Midfielder,24.4,24.4
Keane Lewis-Potter,Brentford,ENG,Defender,27.1,24.39
Jefferson Lerma,Crystal Palace,COL,Midfielder,13.6,24.37
Alisson,Liverpool,BRA,Goalkeeper,24.1,24.1
Andreas Pereira,Fulham,BRA,Midfielder,19.0,23.92
Lewis Cook,Bournemouth,ENG,Midfielder,19.3,23.78
Will Hughes,Crystal Palace,ENG,Midfielder,11.1,23.74
Matty Cash,Aston Villa,POL,Defender,32.9,23.73
Leif Davis,Ipswich Town,ENG,Defender,28.2,23.67
Neco Williams,Nott'ham Forest,WAL,Defender,23.4,23.4
Yves Bissouma,Tottenham,MLI,Midfielder,29.8,23.23
Tomáš Souček,West Ham,CZE,Midfielder,23.2,23.2
Kostas Tsimikas,Liverpool,GRE,Defender,23.6,23.18
John Stones,Manchester City,ENG,Defender,29.7,23.18
Wilfred Ndidi,Leicester City,NGA,Midfielder,20.3,22.94
Alex Iwobi,Fulham,NGA,Forward,30.3,22.86
Calvin Bassey,Fulham,NGA,Defender,29.9,22.75
Dean Henderson,Crystal Palace,ENG,Goalkeeper,22.7,22.7
Jordan Pickford,Everton,ENG,Goalkeeper,22.6,22.6
Raheem Sterling,Arsenal,ENG,Forward,17.5,22.27
Mads Hermansen,Leicester City,DEN,Goalkeeper,19.8,22.01
Paul Onuachu,Southampton,NGA,Forward,12.7,22.01
Timothy Castagne,Fulham,BEL,Defender,17.4,22.0
James Ward-Prowse,West Ham,ENG,Midfielder,11.2,21.96
David Raya,Arsenal,ESP,Goalkeeper,28.9,21.72
Kepa Arrizabalaga,Bournemouth,ESP,Goalkeeper,12.0,21.68
Jota Silva,Nott'ham Forest,POR,Forward,17.4,21.66
Kristoffer Ajer,Brentford,NOR,Defender,21.5,21.61
Caoimhín Kelleher,Liverpool,IRL,Goalkeeper,20.9,20.9
Tosin Adarabioyo,Chelsea,ENG,Defender,24.3,20.77
Jake O'Brien,Everton,IRL,Defender,19.7,20.69
Toti Gomes,Wolves,POR,Defender,18.6,20.62
Harry Wilson,Fulham,WAL,Forward,14.5,20.44
Wout Faes,Leicester City,BEL,Defender,25.0,20.4
Thiago,Brentford,BRA,Forward,25.9,20.39
Álex Moreno,Nott'ham Forest,ESP,Defender,11.0,20.29
Ryan Yates,Nott'ham Forest,ENG,Midfielder,18.3,20.1
Matz Sels,Nott'ham Forest,BEL,Goalkeeper,9.1,19.96
Caleb Okoli,Leicester City,ITA,Defender,16.7,19.83
Emmanuel Agbadou,Wolves,CIV,Defender,18.0,19.79
Eddie Nketiah,Crystal Palace,ENG,Forward,24.8,19.73
Alphonse Areola,West Ham,FRA,Goalkeeper,11.8,19.61
Lesley Ugochukwu,Southampton,FRA,Midfielder,27.0,19.61
Konstantinos Mavropanos,West Ham,GRE,Defender,19.1,19.52
Marcos Senesi,Bournemouth,ARG,Defender,20.4,19.22
Ederson,Manchester City,BRA,Goalkeeper,19.1,19.1
Matt O'Riley,Brighton,DEN,Midfielder,25.6,19.08
Kamaldeen Sulemana,Southampton,GHA,Forward,18.5,18.9
Harry Maguire,Manchester Utd,ENG,Defender,13.7,18.7
Aaron Ramsdale,Southampton,ENG,Goalkeeper,18.7,18.7
Jack Clarke,Ipswich Town,ENG,Forward,19.4,18.69
Kyle Walker-Peters,Southampton,ENG,Defender,16.6,18.56
Issa Diop,Fulham,FRA,Defender,17.9,18.5
Marshall Munetsi,Wolves,ZIM,Midfielder,18.3,18.3
Niclas Füllkrug,West Ham,GER,Forward,13.4,18.19
Jesper Lindstrøm,Everton,DEN,Forward,24.4,18.02
Abdoulaye Doucouré,Everton,MLI,Midfielder,5.8,18.02
Jack Taylor,Ipswich Town,IRL,Midfielder,3.8,17.58
Emiliano Martínez,Aston Villa,ARG,Goalkeeper,17.5,17.5
Jorginho,Arsenal,ITA,Midfielder,5.3,17.46
James Tarkowski,Everton,ENG,Defender,11.8,17.42
Tyrone Mings,Aston Villa,ENG,Defender,5.8,17.02
Albert Grønbaek,Southampton,DEN,Forward,16.6,17.01
James Mcatee,Manchester City,ENG,Midfielder,19.8,17.0
Emerson Palmieri,West Ham,ITA,Defender,12.6,16.96
James Justin,Leicester City,ENG,Defender,17.0,16.85
Julian Araujo,Bournemouth,MEX,Defender,14.3,16.73
Luke Woolfenden,Ipswich Town,ENG,Defender,2.0,16.69
Enes Ünal,Bournemouth,TUR,Forward,16.4,16.18
Sammie Szmodics,Ipswich Town,IRL,Forward,14.1,16.18
Fabian Schär,Newcastle Utd,SUI,Defender,11.0,15.88
Sergio Reguilón,Tottenham,ESP,Defender,5.6,15.87
Marco Asensio,Aston Villa,ESP,Midfielder,19.6,15.86
Lamare Bogarde,Aston Villa,NED,Defender,6.0,15.78
Yukinari Sugawara,Southampton,JPN,Defender,15.7,15.7
Armando Broja,Everton,ALB,Forward,18.6,15.54
Luke Thomas,Leicester City,ENG,Defender,7.8,15.52
Andrés García,Aston Villa,ESP,Defender,10.4,15.32
Victor Lindelöf,Manchester Utd,SWE,Defender,13.5,15.31
Thomas Partey,Arsenal,GHA,Midfielder,15.2,15.2
James Hill,Bournemouth,ENG,Defender,2.1,15.1
Mats Wieffer,Brighton,NED,Midfielder,16.8,14.84
Christian Eriksen,Manchester Utd,DEN,Midfielder,4.2,14.78
Luke Shaw,Manchester Utd,ENG,Defender,17.5,14.41
Orel Mangala,Everton,BEL,Midfielder,24.4,14.37
Ramón Sosa,Nott'ham Forest,PAR,Forward,17.4,14.36
Jan Bednarek,Southampton,POL,Defender,12.9,14.17
Ross Barkley,Aston Villa,ENG,Midfielder,7.3,14.03
Bernd Leno,Fulham,GER,Goalkeeper,13.7,13.7
Tariq Lamptey,Brighton,GHA,Defender,13.6,13.6
Mark Flekken,Brentford,NED,Goalkeeper,13.6,13.6
David Brooks,Bournemouth,WAL,Forward,13.0,13.57
Hwang Hee-chan,Wolves,KOR,Midfielder,17.6,13.53
Conor Chaplin,Ipswich Town,ENG,Midfielder,9.8,13.49
Taiwo Awoniyi,Nott'ham Forest,NGA,Forward,20.2,12.76
Guido Rodríguez,West Ham,ARG,Midfielder,13.6,12.63
Antonín Kinský,Tottenham,CZE,Goalkeeper,20.0,12.35
Kieran Tierney,Arsenal,SCO,Defender,7.4,12.32
Christian Nørgaard,Brentford,DEN,Midfielder,14.4,12.25
Ashley Young,Everton,ENG,Defender,1.3,12.25
İlkay Gündoğan,Manchester City,GER,Midfielder,12.1,12.1
Saša Lukić,Fulham,SRB,Midfielder,12.1,12.1
Nick Pope,Newcastle Utd,ENG,Goalkeeper,11.7,11.7
Ayden Heaven,Manchester Utd,ENG,Defender,6.7,11.65
Alex Scott,Bournemouth,ENG,Midfielder,27.6,11.63
Jorge Cuenca,Fulham,ESP,Defender,7.8,11.22
Santiago Bueno,Wolves,URU,Defender,11.2,11.2
Solly March,Brighton,ENG,Forward,7.3,11.19
Mathias Jensen,Brentford,DEN,Midfielder,14.7,11.1
Wataru Endo,Liverpool,JPN,Midfielder,11.1,11.1
Nathan Patterson,Everton,SCO,Defender,19.9,10.59
Tim Iroegbunam,Everton,ENG,Midfielder,13.8,10.47
Tommy Doyle,Wolves,ENG,Midfielder,14.0,10.3
Adam Webster,Brighton,ENG,Defender,12.2,10.27
Ryan Christie,Bournemouth,SCO,Midfielder,16.2,10.21
Arijanet Muric,Ipswich Town,KVX,Goalkeeper,10.1,10.1
Yerson Mosquera,Wolves,COL,Defender,12.4,9.76
Adama Traoré,Fulham,ESP,Forward,8.0,9.58
Stefan Ortega,Manchester City,GER,Goalkeeper,5.8,9.51
Harry Winks,Leicester City,ENG,Midfielder,11.4,9.48
Abdul Fatawu Issahaku,Leicester City,GHA,Forward,21.9,9.31
Ben Davies,Tottenham,WAL,Defender,5.6,9.29
Lewis Dunk,Brighton,ENG,Defender,7.4,9.19
Jack Harrison,Everton,ENG,Forward,17.7,9.09
William Osula,Newcastle Utd,DEN,Forward,10.3,9.08
Danny Ings,West Ham,ENG,Forward,4.6,8.79
Tyrique George,Chelsea,ENG,Forward,15.7,8.67
Kalvin Phillips,Ipswich Town,ENG,Midfielder,17.2,8.58
José Sá,Wolves,POR,Goalkeeper,8.5,8.5
Vitaly Janelt,Brentford,GER,Midfielder,27.1,8.19
George Hirst,Ipswich Town,SCO,Forward,7.7,8.1
Sam Johnstone,Wolves,ENG,Goalkeeper,7.9,7.9
Ryan Sessegnon,Fulham,ENG,Forward,11.8,7.82
Kasey McAteer,Leicester City,IRL,Forward,1.5,7.66
Nélson Semedo,Wolves,POR,Defender,8.4,7.43
Yehor Yarmoliuk,Brentford,UKR,Midfielder,18.0,7.43
Kieran Trippier,Newcastle Utd,ENG,Defender,5.1,7.33
Carlos Forbs,Wolves,POR,Midfielder,13.0,7.23
Ethan Pinnock,Brentford,JAM,Defender,7.6,6.85
Joël Veltman,Brighton,NED,Defender,5.7,6.84
Harry Amass,Manchester Utd,ENG,Defender,0.7,6.75
Jens Cajuste,Ipswich Town,SWE,Midfielder,15.5,6.64
Nathan Broadhead,Ipswich Town,WAL,Midfielder,6.1,6.1
Jack Stephens,Southampton,ENG,Defender,1.4,5.88
Michail Antonio,West Ham,JAM,Forward,1.0,5.67
Adam Smith,Bournemouth,ENG,Defender,1.5,5.16
Callum Wilson,Newcastle Utd,ENG,Forward,7.3,5.06
Nathan Wood-Gordon,Southampton,ENG,Defender,6.1,5.02
Edmond-Paris Maghoma,Brentford,ENG,Midfielder,0.8,4.86
Vladimír Coufal,West Ham,CZE,Defender,4.8,4.8
Jamie Vardy,Leicester City,ENG,Forward,1.0,4.77
Ben Johnson,Ipswich Town,ENG,Defender,12.6,4.72
Oliver Skipp,Leicester City,ENG,Midfielder,17.0,4.71
Joe Aribo,Southampton,NGA,Midfielder,6.9,4.26
Patson Daka,Leicester City,ZAM,Forward,14.0,4.07
Matt Doherty,Wolves,IRL,Defender,4.2,4.0
Harrison Reed,Fulham,ENG,Midfielder,6.7,3.91
Stephy Mavididi,Leicester City,ENG,Forward,12.9,3.71
Luis Sinisterra,Bournemouth,COL,Forward,15.4,3.59
James Bree,Southampton,ENG,Defender,1.9,3.57
Timo Werner,Tottenham,GER,Forward,10.3,3.46
Dan Burn,Newcastle Utd,ENG,Defender,9.1,3.43
Conor Coady,Leicester City,ENG,Defender,2.2,3.05
Ryan Manning,Southampton,IRL,Defender,3.9,3.01
Ben Godfrey,Ipswich Town,ENG,Defender,10.5,2.96
Hákon Rafn Valdimarsson,Brentford,ISL,Goalkeeper,2.4,2.4
Idrissa Gana Gueye,Everton,SEN,Midfielder,5.0,2.15
Woyo Coulibaly,Leicester City,FRA,Defender,1.9,2.06
Cameron Burgess,Ipswich Town,AUS,Defender,1.7,1.7
Alex Palmer,Ipswich Town,ENG,Goalkeeper,1.6,1.6
Neto,Bournemouth,BRA,Goalkeeper,1.6,1.6
Jason Steele,Brighton,ENG,Goalkeeper,1.5,1.5
Christian Walton,Ipswich Town,ENG,Goalkeeper,1.4,1.4
Martin Dúbravka,Newcastle Utd,SVK,Goalkeeper,1.3,1.3
Sam Morsy,Ipswich Town,EGY,Midfielder,1.3,1.3
Ross Stewart,Southampton,SCO,Forward,2.8,1.19
Łukasz Fabiański,West Ham,POL,Goalkeeper,0.9,0.9
Robin Olsen,Aston Villa,SWE,Goalkeeper,0.9,0.9
Danny Ward,Leicester City,WAL,Goalkeeper,0.9,0.9
Fraser Forster,Tottenham,ENG,Goalkeeper,0.7,0.7
Jakub Stolarczyk,Leicester City,POL,Goalkeeper,0.7,0.7
Joe Lumley,Southampton,ENG,Goalkeeper,0.7,0.7
Alex McCarthy,Southampton,ENG,Goalkeeper,0.6,0.6
Emil Krafth,Newcastle Utd,SWE,Defender,2.0,0.19
Ryan Fraser,Southampton,SCO,Forward,2.3,0.1
Willy Boly,Nott'ham Forest,CIV,Defender,1.4,0.1
Welington,Southampton,BRA,Defender,4.0,0.1
Massimo Luongo,Ipswich Town,AUS,Midfielder,0.5,0.1
Justin Devenny,Crystal Palace,NIR,Midfielder,6.9,0.1
James Milner,Brighton,ENG,Midfielder,1.2,0.1
Wes Burns,Ipswich Town,WAL,Forward,2.1,0.1
Willian,Fulham,BRA,Forward,1.3,0.1
Michael Keane,Everton,ENG,Defender,2.3,0.1
Pablo Sarabia,Wolves,ESP,Midfielder,4.9,0.1
Odsonne Édouard,Crystal Palace,FRA,Midfielder,12.4,0.1
Adam Lallana,Southampton,ENG,Midfielder,0.9,0.1
Andy Irving,West Ham,SCO,Midfielder,6.5,0.1
Séamus Coleman,Everton,IRL,Defender,0.7,0.1
Ricardo Pereira,Leicester City,POR,Defender,4.1,0.1
Nathaniel Clyne,Crystal Palace,ENG,Defender,1.0,0.1
Sven Botman,Newcastle Utd,NED,Defender,52.7,0.1
Jannik Vestergaard,Leicester City,DEN,Defender,2.0,0.1
Bobby De Cordova-Reid,Leicester City,JAM,Forward,2.7,0.1
William Smallbone,Southampton,IRL,Midfielder,8.4,0.1
Tom Cairney,Fulham,SCO,Midfielder,1.5,0.1
Michael Kayode,Brentford,ITA,Defender,25.0,0.1
Jonny Evans,Manchester Utd,NIR,Defender,1.1,0.1
Craig Dawson,Wolves,ENG,Defender,1.5,0.1
Chiedozie Ogbene,Ipswich Town,IRL,Forward,9.8,0.1
Harry Toffolo,Nott'ham Forest,ENG,Defender,2.2,0.1
Ferdi Kadioglu,Brighton,TUR,Defender,37.4,0.1
Aaron Cresswell,West Ham,ENG,Defender,0.8,0.1
Armel Bella Kotchap,Southampton,GER,Defender,15.4,0.1
Ben Chilwell,Crystal Palace,ENG,Defender,20.4,0.1
Conor Townsend,Ipswich Town,ENG,Defender,1.2,0.1
Ben Mee,Brentford,ENG,Defender,0.9,0.1
Charlie Taylor,Southampton,ENG,Defender,2.1,0.1
